B,C,D,E,Q,height1,height2,height3,s^2
-1,1,1,-1,-1,7.78,7.78,7.81,0.0003
1,1,1,1,-1,8.15,8.18,7.88,0.0273
-1,-1,1,1,-1,7.5,7.56,7.5,0.0012
1,-1,1,-1,-1,7.59,7.56,7.75,0.010433333
-1,1,-1,1,-1,7.94,8,7.88,0.0036
1,1,-1,-1,-1,7.69,8.09,8.06,0.049633333
-1,-1,-1,-1,-1,7.56,7.62,7.44,0.0084
1,-1,-1,1,-1,7.56,7.81,7.69,0.015633333
-1,1,1,-1,1,7.5,7.25,7.12,0.0373
1,1,1,1,1,7.88,7.88,7.44,0.064533333
-1,-1,1,1,1,7.5,7.56,7.5,0.0012
1,-1,1,-1,1,7.63,7.75,7.56,0.009233333
-1,1,-1,1,1,7.32,7.44,7.44,0.0048
1,1,-1,-1,1,7.56,7.69,7.62,0.004233333
-1,-1,-1,-1,1,7.18,7.18,7.25,0.001633333
1,-1,-1,1,1,7.81,7.5,7.59,0.025433333
,,,,,,,mean s^2,0.016554167
,,,,,,,s,0.128662996
,,,,,,,SE(effect),0.018570904