comR1,comR2,efficiency,block
wt,wt,22.5,F21
wt,wt,27.0491803,F21
wt,wt,8.52272727,F21
wt,wt,51.2820513,F22
wt,wt,18.1543116,F22
wt,wt,32.1067821,F22
wt,wt,57.3152338,F23
wt,wt,54.7263682,F23
wt,wt,41.322314,F23
wt,wt,45,M24
wt,wt,51.4,M24
wt,wt,21.8,M24
ko,wt,146.8710089,M24
ko,wt,119.5887446,M24
ko,wt,69.67537609,M24
oe,ko,0.31622777,M24
oe,ko,0.31622777,M24
oe,ko,0.31622777,M24
ko,oe,907.6682316,M24
ko,oe,764.8261759,M24
ko,oe,695.1612903,M24
wt,ko,0.31622777,F21
wt,ko,0.31622777,F21
wt,ko,0.31622777,F21
wt,oe,243.169399,F21
wt,oe,240.145985,F21
wt,oe,181.422351,F21
oe,ko,0.31622777,M24
oe,ko,0.31622777,M24
oe,ko,0.31622777,M24
ko,ko,0.31622777,F22
ko,ko,0.31622777,F22
ko,ko,0.31622777,F22
oe,wt,0.31622777,M24
oe,wt,0.31622777,M24
oe,wt,0.31622777,M24
ko,oe,273.202614,F22
ko,oe,655.952381,F22
ko,oe,625.833333,F22
oe,wt,0.316,M24
oe,wt,0.316,M24
oe,wt,0.654,M24
wt,oe,442.857143,F23
wt,oe,412.073491,F23
wt,oe,470.30303,F23